,ID,NAME,DIRECTION,SBBM,CROSS_ID,CROSS_ID_1
0,10293,长虹大道南段与饮马路交叉路口,4,510700000000010078,18,20
1,10294,长虹大道南段与饮马路交叉路口,3,510700000000010079,18,29
2,10396,长虹大道南段与饮马路交叉路口,1,510700000000010303,18,246
3,10416,长虹大道南段与饮马路交叉路口,1,510700000000010304,18,246
4,10463,长虹大道南段与饮马路交叉路口,1,510700000000010305,18,246
5,10449,长虹大道南段与饮马路交叉路口,1,510700000000010306,18,246
6,10286,长虹大道北段与高水中街交叉路口,1,510700000000010087,19,
7,10156,长虹大道北段与高水中街交叉路口,2,510700000000010088,19,272
8,10157,长虹大道北段与高水中街交叉路口,4,510700000000010089,19,25
9,10200,长虹大道北段与高水中街交叉路口,3,510700000000010090,19,23
10,10291,长虹大道南段与南河大桥交叉路口,1,510700000000010076,20,
11,10292,长虹大道南段与南河大桥交叉路口,2,510700000000010077,20,21
12,10497,长虹大道南段与南塔路交叉路口,4,510700000000090024,21,46
13,10115,长虹大道北段与高水北街交叉路口,4,510700000000010058,23,19
14,10184,长虹大道北段与高水北街交叉路口,3,510700000000010059,23,24
15,10424,长虹大道北段与圣水南街交叉路口,1,510700000000010340,24,
16,11591,长虹大道北段与高水南街交叉路口,4,510700000000090086,25,45
17,11592,长虹大道北段与高水南街交叉路口,4,510700000000090087,25,45
18,10284,长虹大道南段与绵绢路交叉路口,3,510700000000010498,29,
19,10185,长虹大道南段与绵绢路交叉路口,4,510700000000010499,29,18
20,10162,长虹大道南段与御营东街交叉路口,1,510700000000010233,37,
21,10258,长虹大道南段与御营东街交叉路口,2,510700000000010234,37,
22,10163,长虹大道南段与御营东街交叉路口,4,510700000000010237,37,
23,10366,长虹大道南段与御营东街交叉路口,4,510700000000010238,37,
24,10332,长虹大道南段与御营东街交叉路口,1,510700000000010335,37,
25,10402,长虹大道南段与御营东街交叉路口,1,510700000000010336,37,
26,10280,长虹大道南段与安昌路交叉路口,2,510700000000010243,38,214
27,10279,长虹大道南段与安昌路交叉路口,1,510700000000010257,38,271
28,10477,长虹大道南段清华园路口,1,510700000000010323,41,
29,10421,长虹大道南段清华园路口,1,510700000000010324,41,
30,10079,长虹大道南段清华园路口,1,510700000000010325,41,
31,10422,长虹大道南段清华园路口,1,510700000000010326,41,
32,10296,长虹大道中段与西山东路交叉路口,1,510700000000010080,42,274
33,10374,长虹大道中段与西山东路交叉路口,2,510700000000010081,42,
34,10297,长虹大道中段与西山东路交叉路口,4,510700000000010082,42,
35,10317,长虹大道中段与西山东路交叉路口,3,510700000000010083,42,45
36,10464,长虹大道中段与西山东路交叉路口,1,510700000000010307,42,274
37,10076,长虹大道中段与西山东路交叉路口,1,510700000000010308,42,274
38,11520,长虹大道中段与西山东路交叉路口,1,510700000000090048,42,274
39,11589,长虹大道中段与西山东路交叉路口,3,510700000000090084,42,45
40,11590,长虹大道中段与西山东路交叉路口,3,510700000000090085,42,45
41,10420,长虹大道与圣水街交叉路口,1,510700000000010341,44,
42,10425,长虹大道与圣水街交叉路口,1,510700000000010342,44,
43,10426,长虹大道与圣水街交叉路口,1,510700000000010343,44,
44,10073,长虹大道与圣水街交叉路口,1,510700000000010344,44,
45,10208,长虹大道北段与一环路北段交叉路口,2,510700000000010084,45,
46,10209,长虹大道北段与一环路北段交叉路口,4,510700000000010085,45,42
47,10253,长虹大道北段与一环路北段交叉路口,3,510700000000010086,45,25
48,10380,长虹大道北段与一环路北段交叉路口,1,510700000000010337,45,193
49,10403,长虹大道北段与一环路北段交叉路口,1,510700000000010338,45,193
50,10479,长虹大道北段与一环路北段交叉路口,1,510700000000010339,45,193
51,10215,长虹大道南段与南山路交叉路口,1,510700000000010096,46,
52,10216,长虹大道南段与南山路交叉路口,4,510700000000010097,46,195
53,10370,长虹大道南段与南山路交叉路口,3,510700000000010098,46,21
54,11593,长虹大道南段与南山路交叉路口,4,510700000000090092,46,195
55,10496,临园路西段与三汇路交叉路口,1,510700000000010018,147,
56,10313,临园路西段与三汇路交叉路口,1,510700000000010019,147,
57,10224,临园路西段与三汇路交叉路口,2,510700000000010020,147,
58,10225,临园路西段与三汇路交叉路口,2,510700000000010021,147,
59,10570,临园路西段与三汇路交叉路口,4,510700000000090021,147,185
60,10571,临园路西段与三汇路交叉路口,3,510700000000090022,147,
61,11518,警钟街与常家巷交叉路口,4,510700000000090047,152,
62,10211,跃进路北段与西山东路交叉路口,1,510700000000010091,163,
63,10212,跃进路北段与西山东路交叉路口,4,510700000000010092,163,
64,10154,跃进路北段与西山东路交叉路口,3,510700000000010093,163,
65,10343,跃进路北段与西山东路交叉路口,1,510700000000090051,163,
66,10270,滨江西路中段与滨江路交叉路口,4,510700000000010210,171,222
67,10172,红星街与体运村交叉路口,1,510700000000010047,184,
68,10173,红星街与体运村交叉路口,2,510700000000010048,184,
69,10174,红星街与体运村交叉路口,4,510700000000010049,184,
70,10333,红星街与体运村交叉路口,3,510700000000010050,184,
71,10175,一环路南段御营大桥路口,2,510700000000010055,185,
72,10176,一环路南段御营大桥路口,4,510700000000010056,185,
73,10177,一环路南段御营大桥路口,3,510700000000010057,185,147
74,10127,绵州大道中段与机场东路交叉路口,1,510700000000010105,186,
75,10130,绵州大道中段与机场东路交叉路口,2,510700000000010106,186,
76,10134,绵州大道中段与机场东路交叉路口,4,510700000000010107,186,
77,10137,绵州大道中段与机场东路交叉路口,3,510700000000010108,186,225
78,10262,机场东路与文武中路交叉路口,1,510700000000010121,187,
79,10167,机场东路与文武中路交叉路口,2,510700000000010122,187,
80,10263,机场东路与文武中路交叉路口,4,510700000000010123,187,
81,10264,机场东路与文武中路交叉路口,3,510700000000010124,187,
82,10267,三星路三星小区路口,4,510700000000010133,188,486
83,10268,三星路三星小区路口,3,510700000000010134,188,484
84,10199,游仙东路与仙童街交叉路口,4,510700000000010139,189,
85,10202,游仙东路与仙童街交叉路口,3,510700000000010140,189,513
86,10301,剑南路东段与开元路交叉路口,1,510700000000010150,190,
