MYID,SBBMNUM,newLONGITUDE,newLATITUDE,TureKmlID
,0.0,104.76147,31.4008007,0
,0.0,104.7659214,31.4013261,1
,0.0,104.7558135,31.4015125,2
,0.0,104.7558135,31.4015125,2
,0.0,104.7606465,31.4026951,3
,0.0,104.7714836,31.4031452,4
,0.0,104.7651247,31.4032268,5
,0.0,104.7627462,31.4033875,6
,0.0,104.7177224,31.4035152,7
,0.0,104.7177224,31.4035152,7
,0.0,104.7248421,31.4051243,8
,0.0,104.7248421,31.4051243,8
,0.0,104.7248421,31.4051243,8
,0.0,104.755481,31.405745,9
,0.0,104.7702563,31.4058641,10
,0.0,104.7589357,31.4067889,11
,0.0,104.7543804,31.4078514,12
,0.0,104.7631143,31.4079939,13
,0.0,104.7198342,31.4080654,14
,0.0,104.7198342,31.4080654,14
,0.0,104.7198342,31.4080654,14
,0.0,104.7198342,31.4080654,14
,0.0,104.7198342,31.4080654,14
,0.0,104.7198342,31.4080654,14
,0.0,104.7198342,31.4080654,14
,0.0,104.7198342,31.4080654,14
,0.0,104.7182302,31.4085862,15
,0.0,104.7182302,31.4085862,15
,0.0,104.7182302,31.4085862,15
,0.0,104.7182302,31.4085862,15
,0.0,104.6109474,31.4085753,16
,0.0,104.6109474,31.4085753,16
,0.0,104.7580483,31.4089605,17
,0.0,104.7601103,31.4095971,18
,0.0,104.7686727,31.40973,19
,0.0,104.7538721,31.409878,20
,0.0,104.7621541,31.4102281,21
,0.0,104.7166348,31.4103073,22
,0.0,104.7572267,31.4109483,23
,0.0,104.7204732,31.4109116,24
,0.0,104.7204732,31.4109116,24
,0.0,104.7204732,31.4109116,24
,0.0,104.7204732,31.4109116,24
,0.0,104.7735233,31.4112156,25
,0.0,104.7592632,31.4115852,26
,0.0,104.7144923,31.4121557,27
,0.0,104.7144923,31.4121557,27
,0.0,104.7613042,31.4122234,28
,0.0,104.7564077,31.4129299,29
,0.0,104.7670681,31.4134366,30
,0.0,104.7584009,31.4135456,31
,0.0,104.760478,31.4141462,32
,0.0,104.7473003,31.4142764,33
,0.0,104.748714,31.4144211,34
,0.0,104.7413735,31.4143969,35
,0.0,104.7413735,31.4143969,35
391.0,0.0,104.7413735,31.4143969,35
,0.0,104.7456816,31.4144244,36
,0.0,104.7456816,31.4144244,36
,0.0,104.7529033,31.4148136,37
,0.0,104.7575381,31.4155071,38
,0.0,104.6370095,31.4156167,39
361.0,0.0,104.7597923,31.4162624,40
,0.0,104.6733133,31.4165477,41
,0.0,104.7462432,31.4169306,42
360.0,0.0,104.7651528,31.4180063,43
,0.0,104.7495254,31.4178267,44
,0.0,104.7495254,31.4178267,44
,0.0,104.7495254,31.4178267,44
,0.0,104.7495254,31.4178267,44
,0.0,104.7495254,31.4178267,44
,0.0,104.7477507,31.4181941,45
,0.0,104.6359086,31.4183848,46
,0.0,104.7599026,31.4194008,47
320.0,0.0,104.7699893,31.4195314,48
,0.0,104.6751896,31.4195579,49
,0.0,104.6625619,31.4195806,50
