start,end
1224,1174
1174,1148
1097,1008
1008,944
944,890
890,823
542,498
1952,1954
815,862
862,769
769,858
858,862
862,815
1001,1029
1157,1225
30,37
1855,1838
1255,1152
751,883
883,949
949,998
747,870
870,934
934,978
1830,1836
1836,1851
1622,1650
1650,1680
1680,1725
1519,1559
511,605
262,310
310,369
369,447
539,619
619,649
359,354
596,626
626,695
695,759
376,370
370,369
369,364
364,361
477,444
615,573
573,482
426,457
457,522
565,588
588,600
600,615
615,620
620,626
1390,1370
249,299
576,628
1102,1128
1156,1127
1295,1283
1283,1315
728,632
1281,1326
1359,1370
1204,1201
1201,1202
1720,1738
1147,1207
680,606
1701,1676
1676,1660
1660,1642
1714,1751
1751,1794
1847,1879
1418,1413
1329,1346
1326,1352
51,50
50,48
433,430
101,115
779,770
1658,1665
1665,1670
1517,1556
1556,1609
1609,1684
1684,1722
1722,1782
94,86
583,620
620,690
690,745
1681,1679
1679,1673
1392,1374
1510,1511
916,831
1930,1915
1915,1910
1910,1901
1901,1889
1864,1878
1878,1889
1889,1897
1897,1903
946,826
611,605
605,604
604,602
895,779
779,662
884,887
868,770
770,665
690,661
661,647
647,639
203,206
966,894
894,776
442,446
419,442
442,492
934,983
983,1008
1454,1441
1257,1176
1145,1202
1578,1536
1554,1619
1680,1701
1701,1726
1622,1578
1782,1771
1762,1741
1725,1720
1738,1746
1767,1780
1746,1725
1795,1816
1758,1793
1236,1119
1119,1106
1106,1098
1098,1058
1393,1400
1518,1526
917,1066
1066,1121
886,736
136,160
160,179
179,212
1918,1926
1788,1736
1736,1678
1678,1674
1674,1585
1695,1728
1751,1759
1487,1471
1471,1470
789,718
1420,1446
1526,1549
1532,1549
1403,1442
1442,1479
1479,1505
1505,1540
1540,1598
1598,1580
1580,1622
1148,1174
1103,1148
1362,1361
1398,1393
1393,1362
1362,1308
1697,1660
1660,1622
871,1030
974,1095
1902,1910
1910,1912
1912,1916
1483,1540
1540,1628
1684,1710
1710,1736
806,816
816,961
130,136
1475,1477
1000,904
904,787
949,883
883,751
637,640
640,644
644,648
648,651
651,655
655,592
592,484
1469,1465
1135,1263
1263,1316
1177,1299
1299,1366
981,1065
1088,1099
1099,1101
1101,1056
1242,1257
1257,1259
1259,1268
1268,1281
1281,1285
1331,1323
1323,1311
945,1056
1056,1102
1102,1154
1154,1233
1233,1285
1285,1336
1336,1359
1359,1367
887,1075
1075,1145
1511,1531
1681,1717
1894,1907
1136,1212
1298,1308
998,1077
1229,1344
1344,1418
1418,1452
1491,1524
1564,1618
1234,1207
1207,1195
1070,1046
62,69
69,74
1700,1708
1708,1713
1713,1719
1719,1724
1499,1456
1652,1653
1606,1653
1653,1672
1573,1556
1556,1523
1691,1721
1721,1734
1760,1774
1879,1883
1895,1901
1901,1906
1906,1909
1897,1906
1906,1912
1912,1919
1919,1938
1877,1882
1370,1336
1336,1326
490,602
602,644
644,818
818,829
829,818
276,315
315,364
364,490
762,908
367,440
440,489
354,413
413,459
846,898
898,944
1711,1676
1676,1650
1741,1767
1532,1450
1370,1387
1262,1187
1269,1350
946,992
1108,1170
306,310
310,315
486,574
574,640
1941,1938
1938,1930
1930,1921
1921,1914
1914,1907
631,628
628,632
888,883
883,870
421,446
446,513
513,575
459,450
450,443
321,359
359,357
892,972
524,619
619,684
790,787
787,904
904,1000
806,838
47,44
44,40
40,35
36,33
33,32
32,22
0,4
4,17
17,32
32,40
40,48
878,920
737,920
920,993
993,1095
666,560
780,722
722,653
1030,1076
1387,1358
1358,1307
1307,1278
1278,1203
1203,1101
1101,1011
1011,940
1368,1358
1358,1370
1693,1658
205,203
1796,1819
734,637
637,571
574,571
116,128
128,150
150,157
1678,1736
831,648
648,604
1116,1114
1723,1690
1647,1585
1585,1546
1546,1517
1517,1493
1493,1442
1002,1095
818,906
906,1059
573,615
1761,1787
1787,1799
1799,1814
1814,1826
573,583
886,956
956,974
974,993
1076,1108
1316,1263
1263,1135
1095,920
920,737
588,639
639,708
699,565
565,509
509,434
841,780
780,789
789,804
457,489
489,533
533,557
621,557
557,497
1113,1195
1195,1272
583,596
787,790
898,934
1508,1506
1506,1499
1444,1435
1465,1310
1785,1775
1689,1645
2,6
23,36
47,51
73,80
1584,1647
1647,1704
741,894
894,904
904,968
968,972
972,912
1757,1723
1926,1945
33,44
44,50
50,60
443,450
450,459
459,479
677,704
704,751
586,552
616,533
533,454
1924,1925
1055,1103
413,416
416,419
419,421
1785,1798
1832,1852
1929,1919
1919,1915
538,549
841,673
3,4
4,7
7,14
160,155
344,431
979,1104
1104,1169
1246,1294
1531,1548
1548,1570
1570,1631
1631,1679
1864,1870
1870,1882
1882,1895
1895,1902
1902,1914
1914,1932
1932,1942
1563,1570
1570,1574
1443,1495
1495,1546
1546,1573
1573,1646
1646,1710
1710,1781
264,280
695,719
117,120
528,502
502,509
726,661
661,615
690,695
603,575
575,584
978,934
870,846
978,949
949,951
569,576
576,581
586,627
627,542
542,521
1146,1147
1506,1470
562,572
1524,1561
1714,1721
1731,1744
1794,1804
1721,1759
1759,1784
1941,1929
1929,1916
144,139
216,235
1169,1121
1294,1246
1356,1355
1837,1864
1864,1837
1108,1030
1030,920
920,878
878,731
731,735
735,731
92,101
1539,1548
1435,1419
1468,1463
385,383
314,327
230,232
232,242
242,249
452,394
394,311
482,455
538,570
1293,1375
1951,1927
1768,1804
1804,1846
1152,1115
1263,1293
1293,1300
1300,1310
842,922
922,651
651,611
858,892
892,912
922,842
800,655
655,617
1092,1002
1002,956
956,871
871,878
940,945
1550,1628
647,600
600,528
1265,1187
1187,1113
1113,1111
1111,1046
1046,959
529,603
603,677
677,753
529,513
513,492
492,479
753,888
888,951
753,751
751,747
747,742
742,732
732,728
739,703
703,680
1224,1288
1840,1846
83,92
157,161
170,179
643,607
632,569
569,495
1447,1450
1450,1449
1449,1446
1421,1399
955,980
